date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:44	293/293	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Feb%202025%2010:27:44%20GMT	http://localhost/robots.txt		(from )
11:27:45	36203/36203	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2010:27:44%20GMT	http://localhost/b2w/en/home/	C:/My%20Web%20Sites/myblog/localhost/b2w/en/home/index.html	(from )
11:27:49	109530/109530	---M--	200	added ('OK')	text/css	etag:%221abda-54e40e444bcd3%22	http://localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/css/bootstrap.min.css	(from http://localhost/b2w/en/home/)
11:27:49	21984/21984	---M--	200	added ('OK')	text/css	etag:%2255e0-5018605511a80%22	http://localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/css/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/css/font-awesome/css/font-awesome.min.css	(from http://localhost/b2w/en/home/)
11:27:50	5895/5895	---M--	200	added ('OK')	text/css	etag:%221707-55bd15398792d%22	http://localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/css/magnific-popup.min.css	(from http://localhost/b2w/en/home/)
11:27:50	1606/1606	---M--	200	added ('OK')	text/css	etag:%22646-55ba74597dc95%22	http://localhost/b2w/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/plugins/contact-form-7/includes/css/styles33a6.css	(from http://localhost/b2w/en/home/)
11:27:50	27896/27896	---M--	200	added ('OK')	text/css	etag:%226cf8-55ddeabc9864a%22	http://localhost/b2w/wp-content/themes/bootstrap2wordpress/style.css?ver=4.8.9	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/themes/bootstrap2wordpress/style1f93.css	(from http://localhost/b2w/en/home/)
11:27:51	825/825	---M--	200	added ('OK')	application/rss+xml	etag:%22b996f1746c46be6319e16490bad74c08%22	http://localhost/b2w/en/home/feed/	C:/My%20Web%20Sites/myblog/localhost/b2w/en/home/feed/index.html	(from http://localhost/b2w/en/home/)
11:27:52	1407/1407	---M--	200	added ('OK')	image/png	etag:%2257f-5536b05373819%22	http://localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/img/logo-mini.png	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/themes/bootstrap2wordpress/assets/img/logo-mini.png	(from http://localhost/b2w/en/home/)
11:27:52	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-546ca8b0fe848%22	http://localhost/b2w/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/b2w/en/home/)
11:27:52	7404/7404	---M--	200	added ('OK')	image/png	etag:%221cec-5565873bf49c6%22	http://localhost/b2w/wp-content/uploads/2016/06/icon-boost-1.png	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/uploads/2016/06/icon-boost-1.png	(from http://localhost/b2w/en/home/)
11:27:53	3206/3206	---M--	200	added ('OK')	application/javascript	etag:%22c86-5352c13a58100%22	http://localhost/b2w/wp-content/themes/bootstrap2wordpress/js/navigation.js?ver=20151215	C:/My%20Web%20Sites/myblog/localhost/b2w/wp-content/themes/bootstrap2wordpress/js/navigation4a7d.js	(from http://localhost/b2w/en/home/)
